id,user_id,setting_id,task_id,score
66,2016211001,1,15,4
68,2016211001,1,7,3
69,2016211001,1,2,3
70,2016211001,1,17,2
71,2016211001,1,10,2
72,2016211001,1,9,2
73,2016211001,1,9,3
74,2016211001,1,5,4
76,2016211001,1,11,3
77,2016211001,1,1,4
78,2016211001,1,19,4
80,2016211001,1,18,4
82,2016211001,1,6,3
84,2016211001,1,13,4
88,2016211001,2,18,3
89,2016211001,2,5,3
90,2016211001,2,2,3
92,2016211001,2,9,3
93,2016211001,2,11,4
94,2016211001,2,8,3
95,2016211001,2,7,4
96,2016211001,2,1,3
98,2016211001,2,17,3
99,2016211001,2,13,4
100,2016211001,2,10,4
101,2016211001,2,20,3
102,2016211001,2,19,3
103,2016211001,2,6,3
104,2016211001,2,15,3
105,2016211001,2,4,3
107,2016211001,3,5,3
108,2016211001,3,18,3
109,2016211001,3,6,3
110,2016211001,3,19,3
111,2016211001,3,13,3
112,2016211001,3,17,3
113,2016211001,3,2,4
114,2016211001,3,20,3
115,2016211001,3,8,3
116,2016211001,3,1,3
118,2016211001,3,15,4
119,2016211001,3,4,3
121,2016211001,3,7,3
122,2016211001,3,9,3
124,2016211001,3,10,3
126,2016211001,3,11,4
127,2016211001,4,10,4
129,2016211001,4,7,4
132,2016211001,4,1,4
133,2016211001,4,2,3
134,2016211001,4,6,3
135,2016211001,4,11,3
136,2016211001,4,18,3
137,2016211001,4,4,4
138,2016211001,4,17,3
139,2016211001,4,15,4
140,2016211001,4,5,4
141,2016211001,4,8,4
142,2016211001,4,19,4
144,2016211001,1,14,4
145,2016211001,2,14,4
146,2016211001,2,16,4
147,2016211001,3,16,5
148,2016211001,3,14,4
149,2016211001,4,13,4
150,2016211001,4,14,4
151,2016211001,4,16,4
152,2016211001,4,20,3
153,2016211001,4,9,4
154,2016211001,1,16,4
155,2016211001,2,3,4
156,2016211001,3,3,4
157,2016211001,4,3,4
158,2016211001,1,3,4
159,2016011373,1,19,4
160,2016011373,1,8,4
161,2016011373,1,7,4
162,2016011373,1,20,5
163,2016011373,1,1,5
164,2016011373,1,10,5
165,2016011373,1,5,3
166,2016011373,1,12,3
167,2016011373,1,11,5
168,2016011373,1,4,5
169,2016011373,1,9,4
170,2016011373,1,3,5
171,2016011373,1,2,3
172,2016011373,1,13,5
173,2016011373,1,14,5
174,2016011373,1,18,2
175,2016011373,1,15,5
176,2016011373,1,6,5
177,2016011373,1,16,2
178,2016011373,1,17,1
179,2016011286,2,12,3
180,2016011286,2,16,5
181,2016011286,2,11,5
182,2016011286,2,14,5
183,2016011286,2,4,5
184,2016011286,2,1,4
185,2016011286,2,6,4
186,2016011286,2,10,4
187,2016011286,2,13,4
188,2016011286,2,18,4
189,2016011286,2,2,4
190,2016011286,2,3,5
191,2016011286,2,17,3
192,2016011286,2,15,5
193,2016011286,2,8,5
194,2016011286,2,5,3
195,2016011286,2,9,4
196,2016011286,2,20,3
197,2016011286,2,7,4
198,2016011286,2,19,3
199,2013012195,1,3,3
200,2016011336,3,11,2
201,2016011336,3,16,3
202,2016011336,3,17,2
203,2016011336,3,5,5
204,2016011336,3,7,2
205,2016011336,3,8,5
206,2016011336,3,19,4
207,2016011336,3,3,5
208,2016011336,3,15,5
209,2016011336,3,6,5
210,2016011336,3,1,4
211,2016011336,3,20,4
212,2016011336,3,13,5
213,2016011336,3,10,5
214,2016011336,3,14,5
215,2016011336,3,4,4
216,2016011336,3,18,5
217,2016011336,3,9,3
218,2016011336,3,12,2
219,2016011336,3,2,3
220,2015012244,4,18,5
221,2015012244,4,3,5
222,2015012244,4,13,4
223,2015012244,4,8,5
224,2015012244,4,1,5
225,2015012244,4,14,4
226,2015012244,4,4,4
227,2015012244,4,12,5
228,2015012244,4,7,5
229,2015012244,4,7,5
230,2015012244,4,7,5
231,2015012244,4,9,4
232,2015012244,4,6,4
233,2015012244,4,15,5
234,2015012244,4,5,4
235,2015012244,4,16,4
236,2015012244,4,19,4
237,2015012244,4,2,4
238,2015012244,4,17,4
239,2015012244,4,20,5
240,2015012244,4,11,5
241,2015012244,4,10,4
242,2015012244,4,10,4
243,2016211001,1,8,4
244,2016211001,1,20,4
245,2016011386,1,14,5
246,2016011386,1,14,5
247,2016011386,1,1,4
248,2016011386,1,1,4
249,2016011386,1,1,4
250,2016011386,1,1,4
251,2016011386,1,1,4
252,2016011386,1,1,4
253,2016011386,1,1,4
254,2016011386,1,4,3
255,2016011386,1,17,2
256,2016011386,1,15,4
257,2016011386,1,19,3
258,2016011386,1,5,3
259,2016011386,1,20,4
260,2016011386,1,9,4
261,2016011386,1,7,3
262,2016011386,1,18,3
263,2016011386,1,16,3
264,2016011386,1,10,4
265,2016011386,1,8,5
266,2016011386,1,11,4
267,2016011386,1,13,3
268,2016011386,1,6,3
269,2016011386,1,3,4
270,2016011386,1,12,3
271,2016011386,1,2,4
272,2014010588,2,6,2
273,2014010588,2,9,3
274,2014010588,2,2,4
275,2014010588,2,15,2
276,2014010588,2,18,4
277,2014010588,2,17,3
278,2014010588,2,11,4
279,2014010588,2,1,4
280,2014010588,2,16,4
281,2014010588,2,5,3
282,2014010588,2,7,4
283,2014010588,2,3,3
284,2014010588,2,20,3
285,2014010588,2,4,3
286,2014010588,2,14,4
287,2014010588,2,10,3
288,2014010588,2,13,3
289,2014010588,2,19,3
290,2014010588,2,12,3
291,2014010588,2,8,3
292,2016211001,1,4,4
293,2016211001,1,12,4
294,2014080102,3,16,4
295,2014080102,3,19,5
296,2014080102,3,1,5
297,2014080102,3,12,2
298,2014080102,3,7,1
299,2014080102,3,4,4
300,2014080102,3,15,5
301,2014080102,3,20,5
302,2014080102,3,11,4
303,2014080102,3,5,3
304,2014080102,3,2,3
305,2014080102,3,18,4
306,2014080102,3,13,5
307,2014080102,3,10,4
308,2014080102,3,17,2
309,2014080102,3,6,5
310,2014080102,3,3,5
311,2014080102,3,9,4
312,2014080102,3,8,5
313,2014080102,3,14,5
314,2016011396,4,15,5
315,2016011396,4,6,4
316,2016011396,4,3,4
317,2016011396,4,16,3
318,2016011396,4,10,4
319,2016011396,4,17,2
320,2016011396,4,12,4
321,2016011396,4,2,4
322,2016011396,4,9,5
323,2016011396,4,18,4
324,2016011396,4,19,3
325,2016011396,4,8,5
326,2016011396,4,14,5
327,2016011396,4,5,3
328,2016011396,4,13,5
329,2016011396,4,7,5
330,2016011396,4,4,4
331,2016011396,4,20,3
332,2016011396,4,1,4
333,2016011396,4,11,4
334,2016011304,1,11,4
335,2016011304,1,8,5
336,2016011304,1,20,3
337,2016011304,1,9,4
338,2016011304,1,2,5
339,2016011304,1,1,5
340,2016011304,1,13,4
341,2016011304,1,3,5
342,2016011304,1,17,3
343,2016011304,1,15,5
344,2016011304,1,4,4
345,2016011304,1,14,5
346,2016011304,1,5,4
347,2016011304,1,12,3
348,2016011304,1,6,5
349,2016011304,1,7,5
350,2016011304,1,10,5
351,2016011304,1,18,5
352,2016011304,1,19,2
353,2016011304,1,16,2
354,2015010127,2,5,3
355,2015010127,2,17,3
356,2015010127,2,11,3
357,2015010127,2,8,3
358,2015010127,2,3,3
359,2015010127,2,9,3
360,2015010127,2,7,3
361,2015010127,2,1,2
362,2015010127,2,18,3
363,2015010127,2,20,3
364,2015010127,2,12,3
365,2015010127,2,19,2
366,2015010127,2,2,3
367,2015010127,2,4,3
368,2015010127,2,13,3
369,2015010127,2,14,4
370,2015010127,2,15,3
371,2015010127,2,16,3
372,2015010127,2,10,5
373,2015010127,2,6,2
374,2016050024,3,14,5
375,2016050024,3,5,2
376,2016050024,3,17,3
377,2016050024,3,1,5
378,2016050024,3,13,4
379,2016050024,3,19,1
380,2016050024,3,3,5
381,2016050024,3,2,2
382,2016050024,3,11,5
383,2016050024,3,18,4
384,2016050024,3,20,3
385,2016050024,3,4,2
386,2016050024,3,15,5
387,2016050024,3,12,3
388,2016050024,3,16,4
389,2016050024,3,10,5
390,2016050024,3,6,5
391,2016050024,3,9,4
392,2016050024,3,8,5
393,2016050024,3,7,1
394,2016011258,4,10,1
395,2016011258,4,7,5
396,2016011258,4,14,5
397,2016011258,4,5,5
398,2016011258,4,11,5
399,2016011258,4,12,5
400,2016011258,4,15,5
401,2016011258,4,19,5
402,2016011258,4,16,5
403,2016011258,4,4,5
404,2016011258,4,6,5
405,2016011258,4,18,5
406,2016011258,4,1,5
407,2016011258,4,2,5
408,2016011258,4,20,5
409,2016011258,4,17,5
410,2016011258,4,8,5
411,2016011258,4,13,5
412,2016011258,4,9,4
413,2016011258,4,3,5
414,2013011361,1,18,5
415,2013011361,1,11,4
416,2013011361,1,9,4
417,2013011361,1,14,4
418,2013011361,1,8,5
419,2013011361,1,7,4
420,2013011361,1,2,4
421,2013011361,1,10,4
422,2013011361,1,15,5
423,2013011361,1,20,4
424,2013011361,1,4,4
425,2013011361,1,6,4
426,2013011361,1,12,3
427,2013011361,1,17,1
428,2013011361,1,3,4
429,2013011361,1,1,5
430,2013011361,1,16,4
431,2013011361,1,19,4
432,2013011361,1,13,5
433,2013011361,1,5,4
434,2014310617,2,2,4
435,2014310617,2,10,4
436,2014310617,2,15,4
437,2014310617,2,1,4
438,2014310617,2,11,4
439,2014310617,2,5,4
440,2014310617,2,20,3
441,2014310617,2,7,4
442,2014310617,2,12,3
443,2014310617,2,13,4
444,2014310617,2,18,4
445,2014310617,2,3,3
446,2014310617,2,19,4
447,2014310617,2,6,3
448,2014310617,2,16,3
449,2014310617,2,9,3
450,2014310617,2,14,4
451,2014310617,2,4,4
452,2014310617,2,8,3
453,2014310617,2,17,2
454,2014012280,3,2,4
455,2014012280,3,3,5
456,2014012280,3,9,4
457,2014012280,3,13,4
458,2014012280,3,14,4
459,2014012280,3,16,4
460,2014012280,3,16,4
461,2014012280,3,10,4
462,2014012280,3,18,4
463,2014012280,3,1,4
464,2014012280,3,5,3
465,2014012280,3,7,2
466,2014012280,3,4,4
467,2014012280,3,15,4
468,2014012280,3,12,4
469,2014012280,3,19,3
470,2014012280,3,20,4
471,2014012280,3,8,4
472,2014012280,3,6,5
473,2014012280,3,11,4
474,2014012280,3,17,3
475,2016011284,4,9,3
476,2016011284,4,12,4
477,2016011284,4,10,2
478,2016011284,4,8,4
479,2016011284,4,2,2
480,2016011284,4,6,5
481,2016011284,4,14,4
482,2016011284,4,4,3
483,2016011284,4,15,5
484,2016011284,4,13,4
485,2016011284,4,5,4
486,2016011284,4,17,1
487,2016011284,4,16,3
488,2016011284,4,11,5
489,2016011284,4,1,5
490,2016011284,4,7,3
491,2016011284,4,18,5
492,2016011284,4,20,5
493,2016011284,4,19,1
494,2016011284,4,3,4
495,2016011257,1,4,4
496,2016011257,1,17,1
497,2016011257,1,16,5
498,2016011257,1,3,5
