dumb	ERP	ERR	MSnDCG@0003	NCUrb,BR	Nor-tbg-exp-step	Nor-tbg-raw-step	P-measure	RR	nERR@0003	nERR@0005
ERP	1.0	0.38080262165	0.406357426702	0.38080262165	0.22301518295	0.26301518295	0.451194839928	0.640395420315	0.414458720784	0.38080262165
ERR		1.0	0.840433516058	0.826666666667	0.71642739885	0.783730366283	0.803550769305	0.797530260579	0.93573358252	1.0
MSnDCG@0003			1.0	0.826178787385	0.637289169426	0.751029756243	0.634645912975	0.725429383752	0.886239629762	0.840433516058
NCUrb,BR				1.0	0.623094065517	0.717063699617	0.628829427524	0.692773700403	0.780230140105	0.826666666667
Nor-tbg-exp-step					1.0	0.866666666667	0.779581316943	0.692773700403	0.676157636466	0.71642739885
Nor-tbg-raw-step						1.0	0.740297606877	0.745151980491	0.789898223284	0.783730366283
P-measure							1.0	0.863411669003	0.786790125566	0.803550769305
RR								1.0	0.782806914807	0.797530260579
nERR@0003									1.0	0.93573358252
nERR@0005										1.0
