Metric	0001:走路软件	0002:49天之同人	0003:全民大学霸	0004:广西流浪汉月半小夜曲快手	0005:提现到挂失的银行卡里怎么办	0006:中国新歌声主题曲	0007:宝塔镇河妖的下一句是什么	0008:球球大作战兑换码礼品	0009:好看的小说	0010:wipe cache partition	0011:美女图片	0012:oppor9	0013:拔罐之后皮肤很黑是什么情况	0014:小说排行榜	0015:江疏影	0016:闵行区农业银行	0017:金贝辛格	0018:海南碧桂园	0019:长江水文网	0020:梦见失去工作	0021:春江花月夜原文	0022:天天向商软件官方下载	0023:笃字的拼音	0024:天气预报济南	0025:雪佛兰	0026:严东生逝世	0027:美国神婆	0028:光头强动画片全集	0029:炒饼的做法	0030:腾讯电脑管家	0031:果糖的主要功能	0032:上海商学院志愿者服务网	0033:note7国行爆炸	0034:海马s5	0035:申通快递	0036:比萨斜塔	0037:合肥到成都飞机票	0038:广州市第八人民医院	0039:青岛职业技术学院	0040:深圳三和人才市场招聘	0041:一级建造师注册网	0042:韩剧步步惊心丽	0043:我的世界籽岷	0044:关于秋天的作文500字	0045:绿地集团	0046:百度	0047:一路顺疯	0048:罪恶成魔	0049:大乐透	0050:下面痒是怎么回事
MSnDCG@0003	CONSIST|0.43|0.715	P=M<|0.0|0.16	CONSIST|0.901|0.589	CONSIST|0.531|1.0	CONSIST|1.0|0.469	CONSIST|0.587|0.735	CONSIST|1.0|0.469	CONSIST|0.0|0.0	CONSIST|0.667|0.901	P<M>|0.745|0.609	CONSIST|0.901|0.646	P>M=|0.724|0.745	CONSIST|0.905|0.62	CONSIST|0.49|0.646	CONSIST|0.803|0.901	P<M=|0.844|0.844	CONSIST|0.745|0.901	P>M=|0.922|0.901	P=M>|0.661|0.367	CONSIST|0.609|0.432	CONSIST|1.0|0.901	CONSIST|0.844|0.531	CONSIST|0.922|0.901	P=M<|0.745|0.901	CONSIST|0.901|0.745	CONSIST|0.823|0.687	CONSIST|0.441|0.676	P>M=|0.786|0.808	CONSIST|0.922|0.704	P=M>|0.823|0.745	CONSIST|0.531|0.568	P>M<|0.547|0.704	P=M>|1.0|0.823	CONSIST|0.922|0.922	P=M<|0.765|0.824	P<M=|0.823|0.823	CONSIST|1.0|0.844	CONSIST|0.823|0.646	P=M>|0.823|0.724	CONSIST|0.441|0.809	CONSIST|0.724|0.469	CONSIST|0.823|0.823	P<M>|0.922|0.803	CONSIST|0.844|0.568	CONSIST|0.589|0.745	CONSIST|0.735|0.735	CONSIST|0.823|0.745	P=M>|1.0|0.81	CONSIST|0.745|0.724	CONSIST|0.893|0.723
NCUrb,P	P<M=|0.214|0.245	CONSIST|0.088|0.117	P>M=|0.353|0.353	CONSIST|0.223|0.404	CONSIST|0.381|0.103	CONSIST|0.292|0.362	CONSIST|0.363|0.241	P=M>|0.085|0.027	P<M=|0.353|0.353	P<M>|0.319|0.226	P>M=|0.353|0.353	P>M=|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	P<M=|0.353|0.353	P<M=|0.363|0.363	P<M=|0.353|0.353	P>M=|0.353|0.353	P=M<|0.319|0.389	CONSIST|0.375|0.207	P>M=|0.353|0.353	CONSIST|0.442|0.244	P=M>|0.389|0.304	CONSIST|0.353|0.353	P>M=|0.353|0.353	P>M=|0.389|0.389	P<M>|0.363|0.298	CONSIST|0.375|0.308	CONSIST|0.363|0.241	P=M>|0.363|0.298	P=M<|0.207|0.308	CONSIST|0.258|0.199	CONSIST|0.389|0.389	CONSIST|0.353|0.353	CONSIST|0.353|0.353	CONSIST|0.308|0.375	CONSIST|0.363|0.284	P>M=|0.353|0.353	CONSIST|0.363|0.363	P<M=|0.363|0.363	CONSIST|0.33|0.188	CONSIST|0.353|0.353	P<M=|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	CONSIST|0.353|0.353	P>M=|0.353|0.353	CONSIST|0.353|0.353	CONSIST|0.353|0.353	CONSIST|0.389|0.319
ERP	CONSIST|0.066|0.204	CONSIST|0.014|0.022	P>M=|0.176|0.137	CONSIST|0.251|0.418	CONSIST|0.447|0.126	P<M=|0.156|0.182	CONSIST|0.353|0.09	CONSIST|0.033|0.009	CONSIST|0.083|0.152	P<M=|0.203|0.203	P>M=|0.286|0.317	P>M=|0.263|0.246	P>M=|0.122|0.149	CONSIST|0.052|0.139	P<M=|0.268|0.224	CONSIST|0.13|0.217	P<M>|0.349|0.136	P>M=|0.384|0.34	P=M>|0.631|0.237	P>M=|0.186|0.145	CONSIST|0.5|0.223	P>M=|0.248|0.226	P=M>|0.399|0.228	CONSIST|0.1|0.13	CONSIST|0.331|0.197	CONSIST|0.124|0.07	CONSIST|0.189|0.553	CONSIST|0.161|0.095	CONSIST|0.248|0.141	P=M<|0.191|0.357	CONSIST|0.183|0.144	P>M<|0.468|0.592	P=M>|0.161|0.072	P=M<|0.277|0.358	CONSIST|0.356|0.384	P<M=|0.301|0.289	P>M=|0.26|0.245	CONSIST|0.451|0.23	P=M>|0.512|0.309	CONSIST|0.106|0.652	P>M=|0.443|0.441	CONSIST|0.189|0.148	P<M>|0.448|0.189	CONSIST|0.165|0.091	CONSIST|0.139|0.32	P=M<|0.456|0.547	P>M<|0.315|0.431	CONSIST|0.167|0.152	P=M>|0.319|0.236	CONSIST|0.208|0.108
Nor-nDCG-raw-binom	P<M>|0.432|0.379	CONSIST|0.067|0.076	CONSIST|0.696|0.584	CONSIST|0.54|0.734	CONSIST|0.635|0.278	P<M=|0.349|0.388	CONSIST|0.767|0.484	P=M>|0.159|0.061	CONSIST|0.584|0.723	P<M>|0.544|0.456	CONSIST|0.752|0.654	P>M=|0.64|0.609	CONSIST|0.606|0.547	CONSIST|0.476|0.575	P<M=|0.648|0.658	CONSIST|0.607|0.681	P<M=|0.645|0.66	P>M=|0.7|0.717	CONSIST|0.515|0.484	CONSIST|0.649|0.509	CONSIST|0.825|0.726	CONSIST|0.681|0.527	P=M>|0.686|0.632	P=M<|0.669|0.756	CONSIST|0.692|0.618	CONSIST|0.692|0.624	P<M=|0.493|0.535	CONSIST|0.585|0.504	CONSIST|0.726|0.576	P=M>|0.658|0.538	P=M>|0.568|0.461	P>M=|0.511|0.487	P=M>|0.735|0.66	CONSIST|0.751|0.746	CONSIST|0.754|0.758	CONSIST|0.539|0.682	CONSIST|0.799|0.631	CONSIST|0.679|0.59	CONSIST|0.675|0.674	CONSIST|0.532|0.714	CONSIST|0.536|0.398	CONSIST|0.653|0.657	CONSIST|0.659|0.717	CONSIST|0.679|0.561	CONSIST|0.576|0.631	CONSIST|0.645|0.646	P>M=|0.68|0.642	CONSIST|0.623|0.644	CONSIST|0.597|0.582	CONSIST|0.687|0.501
Q@0003	CONSIST|0.343|0.802	P=M<|0.0|0.095	CONSIST|0.931|0.625	CONSIST|0.389|1.0	CONSIST|1.0|0.333	CONSIST|0.518|0.87	CONSIST|1.0|0.417	CONSIST|0.0|0.0	CONSIST|0.75|0.931	P<M>|0.778|0.542	CONSIST|0.931|0.806	CONSIST|0.833|0.778	CONSIST|0.869|0.671	CONSIST|0.653|0.806	CONSIST|0.861|0.931	P<M=|0.847|0.847	CONSIST|0.875|0.931	P>M=|0.972|0.931	P=M>|0.789|0.522	CONSIST|0.667|0.319	CONSIST|1.0|0.931	CONSIST|0.847|0.389	CONSIST|0.972|0.931	P=M<|0.778|0.931	CONSIST|0.931|0.875	CONSIST|0.903|0.792	CONSIST|0.578|0.822	CONSIST|0.856|0.803	CONSIST|0.972|0.556	CONSIST|0.903|0.875	P=M<|0.389|0.681	P>M<|0.5|0.556	P=M>|1.0|0.903	CONSIST|0.972|0.972	P=M<|0.833|0.933	P<M=|0.903|0.903	CONSIST|1.0|0.944	CONSIST|0.903|0.708	P=M>|0.903|0.833	CONSIST|0.578|0.9	CONSIST|0.833|0.333	CONSIST|0.903|0.903	P<M>|0.972|0.861	CONSIST|0.847|0.681	CONSIST|0.625|0.875	CONSIST|0.844|0.844	P>M=|0.903|0.875	P=M>|1.0|0.836	CONSIST|0.875|0.833	CONSIST|0.928|0.773
P-measure	CONSIST|0.429|0.75	CONSIST|0.25|0.286	CONSIST|1.0|0.75	CONSIST|0.5|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.75	P=M>|0.417|0.167	CONSIST|0.75|1.0	P<M=|0.833|0.875	P>M=|1.0|1.0	CONSIST|1.0|0.833	CONSIST|1.0|0.714	CONSIST|0.75|1.0	P<M=|1.0|1.0	P<M=|0.875|0.875	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.6	CONSIST|0.75|0.583	P>M=|1.0|1.0	CONSIST|0.875|0.5	CONSIST|1.0|1.0	P=M<|0.833|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.875	CONSIST|0.6|1.0	CONSIST|1.0|0.909	P>M=|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.5|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.9|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.875|0.75	CONSIST|0.75|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.75	CONSIST|1.0|1.0	CONSIST|1.0|0.75
Nor-lwfv-exp-step	P<M=|0.192|0.161	CONSIST|0.05|0.051	CONSIST|0.407|0.306	CONSIST|0.326|0.437	CONSIST|0.425|0.165	P<M=|0.133|0.138	CONSIST|0.465|0.193	CONSIST|0.085|0.046	CONSIST|0.256|0.442	P<M=|0.292|0.248	CONSIST|0.447|0.36	P>M=|0.344|0.298	CONSIST|0.305|0.221	CONSIST|0.174|0.314	P<M=|0.35|0.356	CONSIST|0.353|0.426	CONSIST|0.325|0.377	P>M=|0.381|0.407	P=M>|0.313|0.176	P>M=|0.334|0.293	CONSIST|0.544|0.409	CONSIST|0.409|0.34	CONSIST|0.4|0.393	P=M<|0.328|0.494	CONSIST|0.362|0.293	P>M=|0.366|0.359	CONSIST|0.184|0.323	P>M=|0.27|0.27	CONSIST|0.461|0.32	P=M>|0.343|0.259	P=M>|0.36|0.194	P>M<|0.284|0.357	P=M>|0.468|0.354	P=M>|0.581|0.507	CONSIST|0.631|0.625	P<M=|0.336|0.364	CONSIST|0.585|0.417	CONSIST|0.408|0.278	CONSIST|0.36|0.373	CONSIST|0.22|0.436	P>M=|0.287|0.242	CONSIST|0.406|0.442	CONSIST|0.357|0.419	CONSIST|0.374|0.217	P<M=|0.263|0.29	P=M<|0.412|0.49	P>M=|0.375|0.337	CONSIST|0.308|0.287	CONSIST|0.278|0.278	CONSIST|0.335|0.232
Nor-lwofv-exp-step	P<M=|0.173|0.176	CONSIST|0.047|0.05	CONSIST|0.42|0.284	CONSIST|0.312|0.448	CONSIST|0.461|0.206	P<M=|0.139|0.148	CONSIST|0.47|0.2	CONSIST|0.075|0.043	CONSIST|0.255|0.477	P<M=|0.284|0.265	CONSIST|0.471|0.388	CONSIST|0.384|0.294	CONSIST|0.298|0.213	CONSIST|0.186|0.365	P<M=|0.356|0.371	CONSIST|0.339|0.425	CONSIST|0.334|0.396	P>M=|0.401|0.407	P=M>|0.361|0.178	CONSIST|0.323|0.265	CONSIST|0.557|0.415	CONSIST|0.395|0.32	CONSIST|0.437|0.405	P=M<|0.316|0.535	CONSIST|0.372|0.319	P>M=|0.385|0.336	CONSIST|0.194|0.38	P>M=|0.296|0.267	CONSIST|0.495|0.345	P=M>|0.362|0.283	P=M>|0.334|0.197	P>M<|0.304|0.378	P=M>|0.473|0.379	P=M>|0.605|0.543	CONSIST|0.66|0.685	P<M=|0.354|0.4	CONSIST|0.605|0.437	CONSIST|0.438|0.27	CONSIST|0.386|0.403	CONSIST|0.224|0.489	CONSIST|0.323|0.27	CONSIST|0.455|0.489	CONSIST|0.382|0.453	CONSIST|0.361|0.221	CONSIST|0.25|0.307	P=M<|0.473|0.546	P>M=|0.409|0.374	CONSIST|0.333|0.294	CONSIST|0.304|0.3	CONSIST|0.355|0.234
O-measure	CONSIST|0.429|0.75	CONSIST|0.25|0.286	CONSIST|1.0|0.5	CONSIST|0.5|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.2|0.167	CONSIST|0.75|1.0	P<M=|0.75|0.75	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.75|0.5	CONSIST|0.75|1.0	P<M=|1.0|1.0	P<M=|0.75|0.75	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.6	CONSIST|0.5|0.375	P>M=|1.0|1.0	CONSIST|0.75|0.5	CONSIST|1.0|1.0	P=M<|0.75|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.6|1.0	CONSIST|1.0|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.5|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.8|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|0.75|0.75	CONSIST|0.5|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.75	CONSIST|1.0|1.0	CONSIST|1.0|0.75
Nor-lwfv-raw-step	P<M>|0.442|0.39	CONSIST|0.08|0.086	CONSIST|0.721|0.61	CONSIST|0.551|0.733	CONSIST|0.654|0.246	P<M=|0.349|0.383	CONSIST|0.772|0.443	P=M>|0.176|0.064	CONSIST|0.594|0.734	P<M>|0.599|0.464	CONSIST|0.742|0.618	P>M=|0.628|0.63	CONSIST|0.641|0.554	CONSIST|0.479|0.575	P<M=|0.64|0.667	CONSIST|0.662|0.715	CONSIST|0.637|0.692	P>M=|0.692|0.725	CONSIST|0.491|0.481	CONSIST|0.657|0.539	CONSIST|0.821|0.727	CONSIST|0.72|0.564	CONSIST|0.685|0.668	P=M<|0.663|0.765	CONSIST|0.69|0.609	P>M=|0.693|0.685	P<M=|0.494|0.506	P>M=|0.581|0.583	CONSIST|0.75|0.521	P=M>|0.664|0.539	P=M>|0.591|0.481	P>M=|0.518|0.497	P=M>|0.775|0.683	CONSIST|0.817|0.769	P=M>|0.812|0.754	P<M=|0.664|0.675	CONSIST|0.841|0.642	CONSIST|0.704|0.6	CONSIST|0.673|0.656	CONSIST|0.552|0.686	CONSIST|0.508|0.391	CONSIST|0.691|0.726	P<M=|0.661|0.693	CONSIST|0.699|0.547	P<M=|0.59|0.622	P=M<|0.654|0.718	P>M=|0.669|0.629	CONSIST|0.637|0.635	CONSIST|0.586|0.589	CONSIST|0.668|0.55
