dumb	baidu	haosou	sm
0001	CONSIST|7.11|13.65	CONSIST|7.11|11.475	CONSIST|7.11|7.997
0002	CONSIST|1.401|2.383	P=M>|1.401|0.0	CONSIST|1.401|1.391
0003	CONSIST|15.853|11.019	CONSIST|15.853|12.327	CONSIST|15.853|13.778
0004	CONSIST|12.467|14.98	CONSIST|12.467|4.471	CONSIST|12.467|17.299
0005	CONSIST|14.735|10.941	CONSIST|14.735|10.627	CONSIST|14.735|5.464
0006	CONSIST|8.344|5.596	CONSIST|8.344|6.699	CONSIST|8.344|8.993
0007	CONSIST|16.963|14.902	CONSIST|16.963|9.422	CONSIST|16.963|9.658
0008	CONSIST|4.624|6.302	CONSIST|4.624|5.97	P=M>|4.624|1.719
0009	CONSIST|6.326|7.533	CONSIST|6.326|13.042	CONSIST|6.326|15.608
0010	CONSIST|12.158|13.062	CONSIST|12.158|12.535	P<M>|12.158|9.479
0011	P=M>|17.004|14.475	P=M>|17.004|14.041	CONSIST|17.004|15.389
0012	CONSIST|10.515|10.786	CONSIST|10.515|13.28	P>M<|10.515|12.804
0013	CONSIST|12.79|11.951	CONSIST|12.79|9.554	CONSIST|12.79|11.561
0014	CONSIST|11.002|15.261	CONSIST|11.002|12.509	CONSIST|11.002|13.883
0015	CONSIST|13.336|14.59	P=M<|13.336|15.987	CONSIST|13.336|14.309
0016	CONSIST|13.617|14.714	CONSIST|13.617|15.272	P<M>|13.617|11.864
0017	CONSIST|9.066|13.514	P>M<|9.066|15.206	CONSIST|9.066|12.472
0018	P=M>|16.255|11.694	CONSIST|16.255|13.715	CONSIST|16.255|13.747
0019	P=M<|11.361|13.683	P=M>|11.361|10.624	P=M>|11.361|7.171
0020	P<M=|12.654|12.352	CONSIST|12.654|11.566	CONSIST|12.654|11.1
0021	CONSIST|20.495|13.954	CONSIST|20.495|14.699	CONSIST|20.495|13.76
0022	CONSIST|15.722|13.333	CONSIST|15.722|0.0	CONSIST|15.722|12.293
0023	P=M>|15.892|10.781	CONSIST|15.892|15.82	CONSIST|15.892|15.444
0024	P<M>|15.99|13.812	CONSIST|15.99|15.326	CONSIST|15.99|15.941
0025	CONSIST|14.717|14.911	CONSIST|14.717|13.602	CONSIST|14.717|12.023
0026	CONSIST|11.981|6.95	CONSIST|11.981|11.965	CONSIST|11.981|10.11
0027	CONSIST|9.643|12.851	CONSIST|9.643|11.212	CONSIST|9.643|10.593
0028	CONSIST|13.896|11.184	CONSIST|13.896|10.933	CONSIST|13.896|11.952
0029	CONSIST|15.478|10.271	CONSIST|15.478|9.714	CONSIST|15.478|11.02
0030	CONSIST|13.084|13.506	P=M<|13.084|14.441	CONSIST|13.084|12.804
0031	CONSIST|10.965|13.365	CONSIST|10.965|12.541	CONSIST|10.965|10.837
0032	CONSIST|13.688|15.871	CONSIST|13.688|12.75	CONSIST|13.688|12.93
0033	CONSIST|11.65|6.732	P=M>|11.65|10.814	CONSIST|11.65|11.784
0034	CONSIST|12.537|13.053	P=M>|12.537|11.036	CONSIST|12.537|12.312
0035	CONSIST|17.764|17.838	CONSIST|17.764|15.173	P=M>|17.764|14.858
0036	CONSIST|10.969|12.162	CONSIST|10.969|11.402	CONSIST|10.969|13.509
0037	CONSIST|18.699|18.709	CONSIST|18.699|18.788	CONSIST|18.699|15.865
0038	CONSIST|15.769|14.909	CONSIST|15.769|15.499	CONSIST|15.769|9.998
0039	CONSIST|15.979|15.834	P=M>|15.979|12.923	CONSIST|15.979|15.609
0040	CONSIST|10.839|17.086	CONSIST|10.839|11.482	CONSIST|10.839|12.822
0041	CONSIST|13.073|13.229	CONSIST|13.073|12.068	CONSIST|13.073|8.244
0042	CONSIST|14.549|14.449	CONSIST|14.549|10.558	CONSIST|14.549|13.977
0043	CONSIST|14.577|16.059	CONSIST|14.577|15.74	CONSIST|14.577|15.771
0044	CONSIST|14.815|9.415	CONSIST|14.815|8.353	CONSIST|14.815|12.74
0045	CONSIST|12.914|14.077	CONSIST|12.914|15.532	CONSIST|12.914|13.858
0046	CONSIST|14.735|12.549	CONSIST|14.735|13.924	P=M>|14.735|12.653
0047	CONSIST|15.728|14.031	CONSIST|15.728|15.591	CONSIST|15.728|14.478
0048	CONSIST|14.525|9.467	CONSIST|14.525|13.218	CONSIST|14.525|14.451
0049	CONSIST|14.577|14.61	CONSIST|14.577|15.592	CONSIST|14.577|13.862
0050	CONSIST|16.784|9.37	CONSIST|16.784|7.729	CONSIST|16.784|11.145
