dumb	baidu	haosou	sm
0001	CONSIST|11.143|13.65	CONSIST|11.143|11.475	P<M>|11.143|7.653
0002	CONSIST|1.401|2.383	P=M>|1.401|0.0	CONSIST|1.401|1.391
0003	CONSIST|15.853|11.019	CONSIST|15.853|12.327	CONSIST|15.853|13.778
0004	CONSIST|12.467|14.98	CONSIST|12.467|4.471	CONSIST|12.467|17.299
0005	CONSIST|14.735|10.941	CONSIST|14.735|10.627	CONSIST|14.735|5.464
0006	CONSIST|8.82|5.596	CONSIST|8.82|6.699	CONSIST|8.82|8.946
0007	CONSIST|16.963|14.902	CONSIST|16.963|9.422	CONSIST|16.963|9.658
0008	CONSIST|4.624|6.302	CONSIST|4.624|5.97	P=M>|4.624|1.719
0009	P<M>|13.665|7.533	P<M>|13.665|13.042	CONSIST|13.665|15.608
0010	CONSIST|12.158|13.062	P=M<|12.158|13.287	P<M>|12.158|9.479
0011	P=M>|17.004|14.475	P=M>|17.004|14.041	CONSIST|17.004|15.389
0012	P=M<|10.515|12.178	CONSIST|10.515|13.28	P>M<|10.515|12.804
0013	CONSIST|12.79|11.951	P>M<|12.79|14.124	CONSIST|12.79|11.561
0014	CONSIST|11.002|15.261	CONSIST|11.002|12.509	CONSIST|11.002|13.883
0015	P<M>|14.966|14.59	P=M<|14.966|15.987	P<M>|14.966|14.309
0016	CONSIST|13.617|14.714	CONSIST|13.617|15.272	P<M>|13.617|11.864
0017	CONSIST|9.066|13.514	P>M<|9.066|15.206	CONSIST|9.066|12.472
0018	P=M>|16.255|11.694	CONSIST|16.255|13.715	CONSIST|16.255|13.747
0019	P=M<|11.628|13.683	P=M>|11.628|10.624	P=M>|11.628|7.171
0020	P<M>|12.654|12.352	CONSIST|12.654|11.566	CONSIST|12.654|11.1
0021	CONSIST|20.495|13.954	CONSIST|20.495|14.699	CONSIST|20.495|13.76
0022	CONSIST|15.722|15.045	CONSIST|15.722|0.0	CONSIST|15.722|12.293
0023	P=M>|17.617|10.781	P=M>|17.617|15.82	P=M>|17.617|15.444
0024	P<M>|15.99|13.812	P=M>|15.99|15.326	P=M<|15.99|17.464
0025	P=M<|14.717|14.911	P>M<|14.717|15.179	CONSIST|14.717|12.023
0026	CONSIST|11.981|6.95	P=M<|11.981|12.913	CONSIST|11.981|10.11
0027	CONSIST|9.643|12.851	CONSIST|9.643|11.212	CONSIST|9.643|9.805
0028	CONSIST|13.896|11.184	CONSIST|13.896|10.933	CONSIST|13.896|11.952
0029	CONSIST|15.478|10.271	CONSIST|15.478|9.714	CONSIST|15.478|11.02
0030	P=M>|14.565|13.506	P=M>|14.565|14.441	P=M>|14.565|12.669
0031	CONSIST|12.192|13.365	CONSIST|12.192|12.541	P=M>|12.192|10.837
0032	CONSIST|13.304|15.871	CONSIST|13.304|12.75	CONSIST|13.304|12.93
0033	CONSIST|13.216|6.732	P=M>|13.216|10.814	P=M>|13.216|11.784
0034	P=M>|16.338|13.053	P=M>|16.338|11.036	P=M>|16.338|12.312
0035	P=M<|17.764|17.838	CONSIST|17.764|15.173	P=M>|17.764|14.858
0036	CONSIST|10.969|12.162	P=M<|10.969|11.402	CONSIST|10.969|13.509
0037	P=M>|19.769|18.709	P=M>|19.769|18.788	CONSIST|19.769|15.865
0038	P>M=|15.769|15.792	P=M>|15.769|15.499	CONSIST|15.769|9.998
0039	P=M>|16.711|15.834	P=M>|16.711|12.923	P=M>|16.711|15.609
0040	CONSIST|11.577|17.086	P<M>|11.577|11.482	CONSIST|11.577|12.822
0041	P=M<|13.073|13.229	P>M<|13.073|13.268	CONSIST|13.073|8.244
0042	P=M>|14.549|11.278	CONSIST|14.549|10.558	P=M>|14.549|13.977
0043	CONSIST|14.577|16.059	CONSIST|14.577|15.74	CONSIST|14.577|15.771
0044	CONSIST|14.815|9.415	CONSIST|14.815|8.353	CONSIST|14.815|12.74
0045	P<M>|15.366|14.077	CONSIST|15.366|15.532	P<M>|15.366|13.858
0046	CONSIST|14.579|12.549	CONSIST|14.579|13.924	P=M>|14.579|12.653
0047	CONSIST|15.728|14.031	P=M>|15.728|15.591	P>M<|15.728|15.805
0048	CONSIST|14.525|9.467	CONSIST|14.525|13.218	P=M>|14.525|12.416
0049	CONSIST|14.577|14.61	CONSIST|14.577|15.592	P=M>|14.577|13.823
0050	CONSIST|16.784|9.37	CONSIST|16.784|7.729	CONSIST|16.784|11.145
