dumb	AP	AP@0003	AP@0005	ERP	ERR	Hit@0003	Hit@0005	MSnDCG@0003	MSnDCG@0005	NCUgu,BR	NCUgu,P	NCUrb,BR	NCUrb,P	Nor-lwfv-exp-binom	Nor-lwfv-exp-step	Nor-lwfv-raw-binom	Nor-lwfv-raw-step	Nor-lwofv-exp-binom	Nor-lwofv-exp-step	Nor-lwofv-raw-binom	Nor-lwofv-raw-step	Nor-nDCG-exp-binom	Nor-nDCG-exp-step	Nor-nDCG-raw-binom	Nor-nDCG-raw-step	Nor-tbg-exp-binom	Nor-tbg-exp-step	Nor-tbg-raw-binom	Nor-tbg-raw-step	O-measure	P-measure	P-plus	P@0003	P@0005	Q-measure	Q@0003	Q@0005	RBP	RR	nDCG@0003	nDCG@0005	nERR@0003	nERR@0005	npbg_hcs_modi	npbg_tbg_modi	pbg_hcs_modi	pbg_tbg_modi
AP	1.0	0.91838745324	1.0	0.343677912033	0.49302828686	0.802529943699	0.740851725214	0.580781772142	0.549341979879	0.549341979879	0.711369904638	0.757176902495	1.0	0.443756232926	0.443756232926	0.629656875695	0.629656875695	0.44940942083	0.44940942083	0.652769490296	0.652769490296	0.516908007973	0.516908007973	0.654365783584	0.654365783584	0.387442539907	0.387442539907	0.480932301513	0.52543975574	0.240864473309	0.203985818359	0.220652485025	0.904393564874	0.93588700751	0.752996497711	0.673746041717	0.752996497711	0.563673523146	0.729950588591	0.617153560149	0.597784847036	0.501726022619	0.49302828686	0.69439838466	0.721446412191	0.568246984858	0.553544636339
AP@0003		1.0	0.91838745324	0.480656813335	0.5081657778	0.854483683747	0.645497224368	0.69924441847	0.53173600384	0.53173600384	0.697186557113	0.77191225639	0.91838745324	0.413668190756	0.413668190756	0.646212639635	0.646212639635	0.413668190756	0.413668190756	0.664470058218	0.664470058218	0.460808642835	0.460808642835	0.643054828119	0.643054828119	0.324700094054	0.324700094054	0.504791283398	0.564876346604	0.316697781066	0.251331771588	0.271617792236	0.985086265559	0.795004896028	0.76147063549	0.80389218093	0.76147063549	0.545770779795	0.782862809955	0.741214935422	0.597133874502	0.578214525506	0.5081657778	0.597505127956	0.639332772579	0.523048701981	0.541306120565
AP@0005			1.0	0.343677912033	0.49302828686	0.802529943699	0.740851725214	0.580781772142	0.549341979879	0.549341979879	0.711369904638	0.757176902495	1.0	0.443756232926	0.443756232926	0.629656875695	0.629656875695	0.44940942083	0.44940942083	0.652769490296	0.652769490296	0.516908007973	0.516908007973	0.654365783584	0.654365783584	0.387442539907	0.387442539907	0.480932301513	0.52543975574	0.240864473309	0.203985818359	0.220652485025	0.904393564874	0.93588700751	0.752996497711	0.673746041717	0.752996497711	0.563673523146	0.729950588591	0.617153560149	0.597784847036	0.501726022619	0.49302828686	0.69439838466	0.721446412191	0.568246984858	0.553544636339
ERP				1.0	0.38080262165	0.780033314347	0.707106781187	0.406357426702	0.349211869734	0.35286335345	0.340917691471	0.38080262165	0.343677912033	0.189681849617	0.176348516283	0.216348516283	0.22301518295	0.216348516283	0.216348516283	0.256348516283	0.249681849617	0.3079392682	0.316348516283	0.314605934867	0.309681849617	0.216348516283	0.22301518295	0.236348516283	0.26301518295	0.454639033442	0.451194839928	0.452988154092	0.465072173052	0.330718540157	0.370484471267	0.43243945325	0.370484471267	0.3377874387	0.640395420315	0.404160299586	0.36786748745	0.414458720784	0.38080262165	0.22	0.266666666667	0.26	0.266666666667
ERR					1.0	0.780033314347	0.707106781187	0.840433516058	0.78892408525	0.784	0.651422641326	0.826666666667	0.49302828686	0.631885855166	0.618552521832	0.603094065517	0.609760732183	0.703094065517	0.703094065517	0.677063699617	0.683730366283	0.746238030832	0.751162116082	0.656044857284	0.654302275867	0.709760732183	0.71642739885	0.75642739885	0.783730366283	0.80325414018	0.803550769305	0.796968575275	0.512429308018	0.44023970004	0.81698481705	0.855229787265	0.81698481705	0.744433746887	0.797530260579	0.784588468575	0.788561981039	0.93573358252	1.0	0.302162661501	0.351374531235	0.523476607083	0.524112907849
Hit@0003						1.0	0.788675134595	0.831987054395	0.780033314347	0.780033314347	0.802529943699	0.780033314347	0.802529943699	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.780033314347	0.828506813723	0.802529943699	0.802529943699	0.924865556414	0.748791376477	0.780033314347	0.831987054395	0.780033314347	0.780033314347	0.828506813723	0.831987054395	0.780033314347	0.831987054395	0.780033314347	0.780033314347	0.780033314347	0.643950550859	0.643950550859
Hit@0005							1.0	0.61175228034	0.707106781187	0.707106781187	0.740851725214	0.707106781187	0.740851725214	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.740851725214	0.740851725214	0.740851725214	0.675973469216	0.887298334621	0.707106781187	0.61175228034	0.707106781187	0.707106781187	0.740851725214	0.61175228034	0.707106781187	0.61175228034	0.707106781187	0.707106781187	0.707106781187	0.707106781187	0.707106781187
MSnDCG@0003								1.0	0.750087254863	0.748309110561	0.655660721634	0.826178787385	0.580781772142	0.639809706191	0.625554977517	0.6703562458	0.677808253385	0.636991926855	0.636991926855	0.684610974474	0.692062982059	0.678419235271	0.684093098554	0.653302701735	0.651524557432	0.637289169426	0.637289169426	0.722520298896	0.751029756243	0.639524639473	0.634645912975	0.637322978204	0.684330684029	0.507413074086	0.816299349	0.90759073716	0.816299349	0.741547586737	0.725429383752	0.951600766929	0.799325865144	0.886239629762	0.840433516058	0.297363138044	0.354151749055	0.533892134828	0.533892134828
MSnDCG@0005									1.0	0.998257418584	0.869777523844	0.82892408525	0.549341979879	0.762204005549	0.748870672216	0.7734122159	0.780078882567	0.760078882567	0.760078882567	0.794048516667	0.78738185	0.883222847882	0.888146933132	0.868908210734	0.867165629318	0.660078882567	0.666745549233	0.706745549233	0.70738185	0.617276644791	0.643260856138	0.626535651784	0.535999534057	0.565769755175	0.832575568967	0.729261491513	0.832575568967	0.959327466237	0.588017140227	0.746406260476	0.917486066289	0.71063147255	0.78892408525	0.431208210351	0.482328982385	0.629673293866	0.643006627199
NCUgu,BR										1.0	0.872081012194	0.824	0.549341979879	0.763946586966	0.750613253632	0.775154797316	0.781821463983	0.755154797316	0.755154797316	0.795791098083	0.789124431417	0.878298762632	0.883222847882	0.870650792151	0.868908210734	0.655154797316	0.661821463983	0.701821463983	0.70245776475	0.609256772817	0.635463758386	0.618738554031	0.535999534057	0.565769755175	0.827651483717	0.724236914727	0.827651483717	0.961070047654	0.588017140227	0.748184404778	0.919228647705	0.705606895765	0.784	0.434223393301	0.484707864568	0.631415875283	0.645385509383
