dumb	AP	AP@0003	AP@0005	ERR	Hit@0003	Hit@0005	MSnDCG@0003	MSnDCG@0005	NCUgu,BR	NCUgu,P	NCUrb,BR	NCUrb,P	O-measure	P-measure	P-plus	P@0003	P@0005	Q-measure	Q@0003	Q@0005	RBP	RR	nDCG@0003	nDCG@0005	nERR@0003	nERR@0005	pbg_hcs_modi	pbg_tbg_modi
AP	1.0	0.91838745324	1.0	0.49302828686	0.802529943699	0.740851725214	0.580781772142	0.549341979879	0.549341979879	0.711369904638	0.757176902495	1.0	0.240864473309	0.203985818359	0.220652485025	0.904393564874	0.93588700751	0.752996497711	0.673746041717	0.752996497711	0.563673523146	0.729950588591	0.617153560149	0.597784847036	0.501726022619	0.49302828686	0.568246984858	0.553544636339
AP@0003	0.91838745324	1.0	0.91838745324	0.5081657778	0.854483683747	0.645497224368	0.69924441847	0.53173600384	0.53173600384	0.697186557113	0.77191225639	0.91838745324	0.316697781066	0.251331771588	0.271617792236	0.985086265559	0.795004896028	0.76147063549	0.80389218093	0.76147063549	0.545770779795	0.782862809955	0.741214935422	0.597133874502	0.578214525506	0.5081657778	0.523048701981	0.541306120565
AP@0005	1.0	0.91838745324	1.0	0.49302828686	0.802529943699	0.740851725214	0.580781772142	0.549341979879	0.549341979879	0.711369904638	0.757176902495	1.0	0.240864473309	0.203985818359	0.220652485025	0.904393564874	0.93588700751	0.752996497711	0.673746041717	0.752996497711	0.563673523146	0.729950588591	0.617153560149	0.597784847036	0.501726022619	0.49302828686	0.568246984858	0.553544636339
ERR	0.49302828686	0.5081657778	0.49302828686	1.0	0.780033314347	0.707106781187	0.840433516058	0.78892408525	0.784	0.651422641326	0.826666666667	0.49302828686	0.80325414018	0.803550769305	0.796968575275	0.512429308018	0.44023970004	0.81698481705	0.855229787265	0.81698481705	0.744433746887	0.797530260579	0.784588468575	0.788561981039	0.93573358252	1.0	0.523476607083	0.524112907849
Hit@0003	0.802529943699	0.854483683747	0.802529943699	0.780033314347	1.0	0.788675134595	0.831987054395	0.780033314347	0.780033314347	0.802529943699	0.780033314347	0.802529943699	0.828506813723	0.802529943699	0.802529943699	0.924865556414	0.748791376477	0.780033314347	0.831987054395	0.780033314347	0.780033314347	0.828506813723	0.831987054395	0.780033314347	0.831987054395	0.780033314347	0.643950550859	0.643950550859
Hit@0005	0.740851725214	0.645497224368	0.740851725214	0.707106781187	0.788675134595	1.0	0.61175228034	0.707106781187	0.707106781187	0.740851725214	0.707106781187	0.740851725214	0.740851725214	0.740851725214	0.740851725214	0.675973469216	0.887298334621	0.707106781187	0.61175228034	0.707106781187	0.707106781187	0.740851725214	0.61175228034	0.707106781187	0.61175228034	0.707106781187	0.707106781187	0.707106781187
MSnDCG@0003	0.580781772142	0.69924441847	0.580781772142	0.840433516058	0.831987054395	0.61175228034	1.0	0.750087254863	0.748309110561	0.655660721634	0.826178787385	0.580781772142	0.639524639473	0.634645912975	0.637322978204	0.684330684029	0.507413074086	0.816299349	0.90759073716	0.816299349	0.741547586737	0.725429383752	0.951600766929	0.799325865144	0.886239629762	0.840433516058	0.533892134828	0.533892134828
MSnDCG@0005	0.549341979879	0.53173600384	0.549341979879	0.78892408525	0.780033314347	0.707106781187	0.750087254863	1.0	0.998257418584	0.869777523844	0.82892408525	0.549341979879	0.617276644791	0.643260856138	0.626535651784	0.535999534057	0.565769755175	0.832575568967	0.729261491513	0.832575568967	0.959327466237	0.588017140227	0.746406260476	0.917486066289	0.71063147255	0.78892408525	0.629673293866	0.643006627199
NCUgu,BR	0.549341979879	0.53173600384	0.549341979879	0.784	0.780033314347	0.707106781187	0.748309110561	0.998257418584	1.0	0.872081012194	0.824	0.549341979879	0.609256772817	0.635463758386	0.618738554031	0.535999534057	0.565769755175	0.827651483717	0.724236914727	0.827651483717	0.961070047654	0.588017140227	0.748184404778	0.919228647705	0.705606895765	0.784	0.631415875283	0.645385509383
NCUgu,P	0.711369904638	0.697186557113	0.711369904638	0.651422641326	0.802529943699	0.740851725214	0.655660721634	0.869777523844	0.872081012194	1.0	0.789335699813	0.711369904638	0.460553231342	0.486602396106	0.468666381125	0.701450087331	0.714273666169	0.801162997687	0.649678865992	0.801162997687	0.894643722582	0.60019777358	0.686252795064	0.870734333209	0.563521028543	0.651422641326	0.606637386317	0.621541401487
NCUrb,BR	0.757176902495	0.77191225639	0.757176902495	0.826666666667	0.780033314347	0.707106781187	0.826178787385	0.82892408525	0.824	0.789335699813	1.0	0.757176902495	0.625102974607	0.628829427524	0.630622741688	0.757918368024	0.696831516529	0.991590751917	0.855879073762	0.991590751917	0.805070047654	0.692773700403	0.813097925922	0.855228647705	0.780230140105	0.826666666667	0.563476607083	0.564112907849
NCUrb,P	1.0	0.91838745324	1.0	0.49302828686	0.802529943699	0.740851725214	0.580781772142	0.549341979879	0.549341979879	0.711369904638	0.757176902495	1.0	0.240864473309	0.203985818359	0.220652485025	0.904393564874	0.93588700751	0.752996497711	0.673746041717	0.752996497711	0.563673523146	0.729950588591	0.617153560149	0.597784847036	0.501726022619	0.49302828686	0.568246984858	0.553544636339
O-measure	0.240864473309	0.316697781066	0.240864473309	0.80325414018	0.828506813723	0.740851725214	0.639524639473	0.617276644791	0.609256772817	0.460553231342	0.625102974607	0.240864473309	1.0	0.945119644814	0.950755256245	0.309943775983	0.202816909152	0.604899923716	0.672774265822	0.604899923716	0.540682894593	0.905636367852	0.535045388517	0.532577613538	0.814983272638	0.80325414018	0.429761883624	0.429761883624
P-measure	0.203985818359	0.251331771588	0.203985818359	0.803550769305	0.802529943699	0.740851725214	0.634645912975	0.643260856138	0.635463758386	0.486602396106	0.628829427524	0.203985818359	0.945119644814	1.0	0.987808162713	0.254638924144	0.171387259296	0.612139132189	0.665446136456	0.612139132189	0.571901207122	0.863411669003	0.539122080667	0.564658284361	0.786790125566	0.803550769305	0.425262513145	0.42614626421
P-plus	0.220652485025	0.271617792236	0.220652485025	0.796968575275	0.802529943699	0.740851725214	0.637322978204	0.626535651784	0.618738554031	0.468666381125	0.630622741688	0.220652485025	0.950755256245	0.987808162713	1.0	0.254638924144	0.171387259296	0.613932446353	0.668123201685	0.613932446353	0.555176002768	0.863411669003	0.541799145896	0.547933080006	0.79961020112	0.796968575275	0.419877539082	0.439279808665
P@0003	0.904393564874	0.985086265559	0.904393564874	0.512429308018	0.924865556414	0.675973469216	0.684330684029	0.535999534057	0.535999534057	0.701450087331	0.757918368024	0.904393564874	0.309943775983	0.254638924144	0.254638924144	1.0	0.795490070679	0.747476747124	0.788978446489	0.747476747124	0.550034310012	0.766460216075	0.735014108064	0.60139740472	0.563300791065	0.512429308018	0.525157236259	0.525157236259
P@0005	0.93588700751	0.795004896028	0.93588700751	0.44023970004	0.748791376477	0.887298334621	0.507413074086	0.565769755175	0.565769755175	0.714273666169	0.696831516529	0.93588700751	0.202816909152	0.171387259296	0.171387259296	0.795490070679	1.0	0.719699139276	0.602035032845	0.719699139276	0.578505005154	0.626267109867	0.555577218046	0.600688608567	0.430015013747	0.44023970004	0.558044691158	0.529400370338
Q-measure	0.752996497711	0.76147063549	0.752996497711	0.81698481705	0.780033314347	0.707106781187	0.816299349	0.832575568967	0.827651483717	0.801162997687	0.991590751917	0.752996497711	0.604899923716	0.612139132189	0.613932446353	0.747476747124	0.719699139276	1.0	0.849431981534	1.0	0.80872153137	0.640395420315	0.803218487537	0.858880131422	0.770350701721	0.81698481705	0.554431058233	0.555067358999
Q@0003	0.673746041717	0.80389218093	0.673746041717	0.855229787265	0.831987054395	0.61175228034	0.90759073716	0.729261491513	0.724236914727	0.649678865992	0.855879073762	0.673746041717	0.672774265822	0.665446136456	0.668123201685	0.788978446489	0.602035032845	0.849431981534	1.0	0.849431981534	0.703869948727	0.673051103665	0.896581677636	0.75951445397	0.915228658419	0.855229787265	0.495503239096	0.496152525593
Q@0005	0.752996497711	0.76147063549	0.752996497711	0.81698481705	0.780033314347	0.707106781187	0.816299349	0.832575568967	0.827651483717	0.801162997687	0.991590751917	0.752996497711	0.604899923716	0.612139132189	0.613932446353	0.747476747124	0.719699139276	1.0	0.849431981534	1.0	0.80872153137	0.640395420315	0.803218487537	0.858880131422	0.770350701721	0.81698481705	0.554431058233	0.555067358999
RBP	0.563673523146	0.545770779795	0.563673523146	0.744433746887	0.780033314347	0.707106781187	0.741547586737	0.959327466237	0.961070047654	0.894643722582	0.805070047654	0.563673523146	0.540682894593	0.571901207122	0.555176002768	0.550034310012	0.578505005154	0.80872153137	0.703869948727	0.80872153137	1.0	0.53563886014	0.750090721535	0.934965362026	0.662172649288	0.744433746887	0.617427656518	0.631397290618
RR	0.729950588591	0.782862809955	0.729950588591	0.797530260579	0.828506813723	0.740851725214	0.725429383752	0.588017140227	0.588017140227	0.60019777358	0.692773700403	0.729950588591	0.905636367852	0.863411669003	0.863411669003	0.766460216075	0.626267109867	0.640395420315	0.673051103665	0.640395420315	0.53563886014	1.0	0.604486580501	0.588017140227	0.782806914807	0.797530260579	0.603358383278	0.603358383278
nDCG@0003	0.617153560149	0.741214935422	0.617153560149	0.784588468575	0.831987054395	0.61175228034	0.951600766929	0.746406260476	0.748184404778	0.686252795064	0.813097925922	0.617153560149	0.535045388517	0.539122080667	0.541799145896	0.735014108064	0.555577218046	0.803218487537	0.896581677636	0.803218487537	0.750090721535	0.604486580501	1.0	0.829989869613	0.828972066837	0.784588468575	0.525982839818	0.526632126315
nDCG@0005	0.597784847036	0.597133874502	0.597784847036	0.788561981039	0.780033314347	0.707106781187	0.799325865144	0.917486066289	0.919228647705	0.870734333209	0.855228647705	0.597784847036	0.532577613538	0.564658284361	0.547933080006	0.60139740472	0.600688608567	0.858880131422	0.75951445397	0.858880131422	0.934965362026	0.588017140227	0.829989869613	1.0	0.711076404667	0.788561981039	0.597208139549	0.604511106982
nERR@0003	0.501726022619	0.578214525506	0.501726022619	0.93573358252	0.831987054395	0.61175228034	0.886239629762	0.71063147255	0.705606895765	0.563521028543	0.780230140105	0.501726022619	0.814983272638	0.786790125566	0.79961020112	0.563300791065	0.430015013747	0.770350701721	0.915228658419	0.770350701721	0.662172649288	0.782806914807	0.828972066837	0.711076404667	1.0	0.93573358252	0.506031963977	0.506681250474
