Metric	0001:走路软件	0002:49天之同人	0003:全民大学霸	0004:广西流浪汉月半小夜曲快手	0005:提现到挂失的银行卡里怎么办	0006:中国新歌声主题曲	0007:宝塔镇河妖的下一句是什么	0008:球球大作战兑换码礼品	0009:好看的小说	0010:wipe cache partition	0011:美女图片	0012:oppor9	0013:拔罐之后皮肤很黑是什么情况	0014:小说排行榜	0015:江疏影	0016:闵行区农业银行	0017:金贝辛格	0018:海南碧桂园	0019:长江水文网	0020:梦见失去工作	0021:春江花月夜原文	0022:天天向商软件官方下载	0023:笃字的拼音	0024:天气预报济南	0025:雪佛兰	0026:严东生逝世	0027:美国神婆	0028:光头强动画片全集	0029:炒饼的做法	0030:腾讯电脑管家	0031:果糖的主要功能	0032:上海商学院志愿者服务网	0033:note7国行爆炸	0034:海马s5	0035:申通快递	0036:比萨斜塔	0037:合肥到成都飞机票	0038:广州市第八人民医院	0039:青岛职业技术学院	0040:深圳三和人才市场招聘	0041:一级建造师注册网	0042:韩剧步步惊心丽	0043:我的世界籽岷	0044:关于秋天的作文500字	0045:绿地集团	0046:百度	0047:一路顺疯	0048:罪恶成魔	0049:大乐透	0050:下面痒是怎么回事
MSnDCG@0003	CONSIST|0.43|0.715	P=M<|0.0|0.16	CONSIST|0.901|0.589	CONSIST|0.531|1.0	CONSIST|1.0|0.469	CONSIST|0.587|0.735	CONSIST|1.0|0.469	CONSIST|0.0|0.0	CONSIST|0.667|0.901	P<M>|0.745|0.609	CONSIST|0.901|0.646	P>M=|0.724|0.745	CONSIST|0.905|0.62	CONSIST|0.49|0.646	CONSIST|0.803|0.901	P<M=|0.844|0.844	CONSIST|0.745|0.901	P>M=|0.922|0.901	P=M>|0.661|0.367	CONSIST|0.609|0.432	CONSIST|1.0|0.901	CONSIST|0.844|0.531	CONSIST|0.922|0.901	P=M<|0.745|0.901	CONSIST|0.901|0.745	CONSIST|0.823|0.687	CONSIST|0.441|0.676	P>M=|0.786|0.808	CONSIST|0.922|0.704	P=M>|0.823|0.745	CONSIST|0.531|0.568	P>M<|0.547|0.704	P=M>|1.0|0.823	CONSIST|0.922|0.922	P=M<|0.765|0.824	P<M=|0.823|0.823	CONSIST|1.0|0.844	CONSIST|0.823|0.646	P=M>|0.823|0.724	CONSIST|0.441|0.809	CONSIST|0.724|0.469	CONSIST|0.823|0.823	P<M>|0.922|0.803	CONSIST|0.844|0.568	CONSIST|0.589|0.745	CONSIST|0.735|0.735	CONSIST|0.823|0.745	P=M>|1.0|0.81	CONSIST|0.745|0.724	CONSIST|0.893|0.723
NCUrb,P	P<M=|0.214|0.245	CONSIST|0.088|0.117	P>M=|0.353|0.353	CONSIST|0.223|0.404	CONSIST|0.381|0.103	CONSIST|0.292|0.362	CONSIST|0.363|0.241	P=M>|0.085|0.027	P<M=|0.353|0.353	P<M>|0.319|0.226	P>M=|0.353|0.353	P>M=|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	P<M=|0.353|0.353	P<M=|0.363|0.363	P<M=|0.353|0.353	P>M=|0.353|0.353	P=M<|0.319|0.389	CONSIST|0.375|0.207	P>M=|0.353|0.353	CONSIST|0.442|0.244	P=M>|0.389|0.304	CONSIST|0.353|0.353	P>M=|0.353|0.353	P>M=|0.389|0.389	P<M>|0.363|0.298	CONSIST|0.375|0.308	CONSIST|0.363|0.241	P=M>|0.363|0.298	P=M<|0.207|0.308	CONSIST|0.258|0.199	CONSIST|0.389|0.389	CONSIST|0.353|0.353	CONSIST|0.353|0.353	CONSIST|0.308|0.375	CONSIST|0.363|0.284	P>M=|0.353|0.353	CONSIST|0.363|0.363	P<M=|0.363|0.363	CONSIST|0.33|0.188	CONSIST|0.353|0.353	P<M=|0.353|0.353	P>M=|0.353|0.353	P<M=|0.353|0.353	CONSIST|0.353|0.353	P>M=|0.353|0.353	CONSIST|0.353|0.353	CONSIST|0.353|0.353	CONSIST|0.389|0.319
Q@0003	CONSIST|0.343|0.802	P=M<|0.0|0.095	CONSIST|0.931|0.625	CONSIST|0.389|1.0	CONSIST|1.0|0.333	CONSIST|0.518|0.87	CONSIST|1.0|0.417	CONSIST|0.0|0.0	CONSIST|0.75|0.931	P<M>|0.778|0.542	CONSIST|0.931|0.806	CONSIST|0.833|0.778	CONSIST|0.869|0.671	CONSIST|0.653|0.806	CONSIST|0.861|0.931	P<M=|0.847|0.847	CONSIST|0.875|0.931	P>M=|0.972|0.931	P=M>|0.789|0.522	CONSIST|0.667|0.319	CONSIST|1.0|0.931	CONSIST|0.847|0.389	CONSIST|0.972|0.931	P=M<|0.778|0.931	CONSIST|0.931|0.875	CONSIST|0.903|0.792	CONSIST|0.578|0.822	CONSIST|0.856|0.803	CONSIST|0.972|0.556	CONSIST|0.903|0.875	P=M<|0.389|0.681	P>M<|0.5|0.556	P=M>|1.0|0.903	CONSIST|0.972|0.972	P=M<|0.833|0.933	P<M=|0.903|0.903	CONSIST|1.0|0.944	CONSIST|0.903|0.708	P=M>|0.903|0.833	CONSIST|0.578|0.9	CONSIST|0.833|0.333	CONSIST|0.903|0.903	P<M>|0.972|0.861	CONSIST|0.847|0.681	CONSIST|0.625|0.875	CONSIST|0.844|0.844	P>M=|0.903|0.875	P=M>|1.0|0.836	CONSIST|0.875|0.833	CONSIST|0.928|0.773
P-measure	CONSIST|0.429|0.75	CONSIST|0.25|0.286	CONSIST|1.0|0.75	CONSIST|0.5|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.75	P=M>|0.417|0.167	CONSIST|0.75|1.0	P<M=|0.833|0.875	P>M=|1.0|1.0	CONSIST|1.0|0.833	CONSIST|1.0|0.714	CONSIST|0.75|1.0	P<M=|1.0|1.0	P<M=|0.875|0.875	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.6	CONSIST|0.75|0.583	P>M=|1.0|1.0	CONSIST|0.875|0.5	CONSIST|1.0|1.0	P=M<|0.833|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.875	CONSIST|0.6|1.0	CONSIST|1.0|0.909	P>M=|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.5|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.9|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	CONSIST|0.875|0.75	CONSIST|0.75|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.75	CONSIST|1.0|1.0	CONSIST|1.0|0.75
O-measure	CONSIST|0.429|0.75	CONSIST|0.25|0.286	CONSIST|1.0|0.5	CONSIST|0.5|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.2|0.167	CONSIST|0.75|1.0	P<M=|0.75|0.75	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.75|0.5	CONSIST|0.75|1.0	P<M=|1.0|1.0	P<M=|0.75|0.75	P<M=|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.6	CONSIST|0.5|0.375	P>M=|1.0|1.0	CONSIST|0.75|0.5	CONSIST|1.0|1.0	P=M<|0.75|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|0.6|1.0	CONSIST|1.0|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.5|0.75	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.8|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|0.75	CONSIST|1.0|1.0	CONSIST|0.6|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|0.75|0.75	CONSIST|0.5|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P=M>|1.0|0.75	CONSIST|1.0|1.0	CONSIST|1.0|0.75
NCUgu,BR	P<M=|0.145|0.118	CONSIST|0.063|0.071	CONSIST|0.279|0.18	CONSIST|0.168|0.349	CONSIST|0.319|0.097	P<M=|0.229|0.261	CONSIST|0.316|0.11	P=M>|0.094|0.015	CONSIST|0.159|0.263	P<M=|0.193|0.145	CONSIST|0.254|0.171	P>M=|0.196|0.188	CONSIST|0.235|0.179	CONSIST|0.122|0.206	P<M=|0.196|0.206	P<M=|0.192|0.214	P<M=|0.195|0.202	P>M=|0.243|0.263	P=M>|0.216|0.124	CONSIST|0.193|0.136	CONSIST|0.3|0.242	CONSIST|0.31|0.19	CONSIST|0.241|0.228	CONSIST|0.209|0.254	CONSIST|0.243|0.189	CONSIST|0.283|0.207	CONSIST|0.11|0.191	P>M=|0.248|0.206	CONSIST|0.262|0.181	P=M>|0.246|0.175	P=M>|0.181|0.121	P>M=|0.184|0.199	P=M>|0.317|0.241	CONSIST|0.235|0.235	CONSIST|0.193|0.233	CONSIST|0.184|0.249	CONSIST|0.278|0.179	CONSIST|0.226|0.173	CONSIST|0.235|0.227	CONSIST|0.114|0.257	P>M=|0.194|0.145	CONSIST|0.211|0.211	P<M=|0.218|0.242	CONSIST|0.235|0.142	CONSIST|0.141|0.226	CONSIST|0.222|0.222	P>M=|0.228|0.202	CONSIST|0.248|0.218	CONSIST|0.207|0.202	CONSIST|0.336|0.187
pbg_hcs_modi	CONSIST|7.11|7.997	CONSIST|1.401|1.391	CONSIST|15.853|13.778	CONSIST|12.467|17.299	CONSIST|14.735|5.464	CONSIST|8.344|8.993	CONSIST|16.963|9.658	P=M>|4.624|1.719	CONSIST|6.326|15.608	P<M>|12.158|9.479	CONSIST|17.004|15.389	P>M<|10.515|12.804	CONSIST|12.79|11.561	CONSIST|11.002|13.883	CONSIST|13.336|14.309	P<M>|13.617|11.864	CONSIST|9.066|12.472	CONSIST|16.255|13.747	P=M>|11.361|7.171	CONSIST|12.654|11.1	CONSIST|20.495|13.76	CONSIST|15.722|12.293	CONSIST|15.892|15.444	CONSIST|15.99|15.941	CONSIST|14.717|12.023	CONSIST|11.981|10.11	CONSIST|9.643|10.593	CONSIST|13.896|11.952	CONSIST|15.478|11.02	CONSIST|13.084|12.804	CONSIST|10.965|10.837	CONSIST|13.688|12.93	CONSIST|11.65|11.784	CONSIST|12.537|12.312	P=M>|17.764|14.858	CONSIST|10.969|13.509	CONSIST|18.699|15.865	CONSIST|15.769|9.998	CONSIST|15.979|15.609	CONSIST|10.839|12.822	CONSIST|13.073|8.244	CONSIST|14.549|13.977	CONSIST|14.577|15.771	CONSIST|14.815|12.74	CONSIST|12.914|13.858	P=M>|14.735|12.653	CONSIST|15.728|14.478	CONSIST|14.525|14.451	CONSIST|14.577|13.862	CONSIST|16.784|11.145
Q-measure	P<M=|0.145|0.142	CONSIST|0.083|0.095	CONSIST|0.229|0.172	CONSIST|0.156|0.306	CONSIST|0.298|0.077	P<M=|0.206|0.245	CONSIST|0.261|0.127	P=M>|0.069|0.018	P<M=|0.184|0.228	P<M>|0.185|0.132	P>M=|0.228|0.193	P>M=|0.2|0.195	P>M=|0.227|0.187	P<M=|0.159|0.194	P<M=|0.207|0.22	P<M=|0.216|0.222	P<M=|0.212|0.22	P>M=|0.229|0.232	CONSIST|0.178|0.159	CONSIST|0.201|0.127	P>M=|0.25|0.232	CONSIST|0.309|0.187	P=M>|0.264|0.205	CONSIST|0.203|0.228	P>M=|0.226|0.206	P>M=|0.261|0.228	P<M=|0.145|0.161	CONSIST|0.236|0.181	CONSIST|0.244|0.161	P=M>|0.231|0.178	CONSIST|0.148|0.152	P>M=|0.159|0.139	CONSIST|0.285|0.254	CONSIST|0.232|0.232	CONSIST|0.194|0.211	P<M=|0.192|0.242	CONSIST|0.261|0.186	P>M=|0.218|0.183	CONSIST|0.227|0.216	CONSIST|0.151|0.22	CONSIST|0.205|0.127	CONSIST|0.21|0.21	P<M=|0.224|0.212	P>M=|0.213|0.172	P<M=|0.162|0.208	CONSIST|0.195|0.195	P>M=|0.213|0.206	CONSIST|0.247|0.218	CONSIST|0.203|0.199	CONSIST|0.277|0.187
ERR	CONSIST|0.333|0.544	CONSIST|0.05|0.067	CONSIST|0.744|0.488	CONSIST|0.403|0.763	CONSIST|0.755|0.6	P<M=|0.479|0.511	CONSIST|0.764|0.533	P=M>|0.114|0.04	CONSIST|0.593|0.742	P<M=|0.606|0.604	P>M=|0.745|0.705	CONSIST|0.711|0.61	CONSIST|0.61|0.467	CONSIST|0.523|0.693	P<M=|0.723|0.739	P<M=|0.636|0.64	P<M=|0.731|0.739	P>M=|0.755|0.746	P=M>|0.846|0.54	CONSIST|0.518|0.361	P>M=|0.765|0.746	CONSIST|0.644|0.407	CONSIST|0.749|0.736	P=M<|0.618|0.745	P>M=|0.742|0.724	CONSIST|0.738|0.624	CONSIST|0.568|0.853	CONSIST|0.707|0.599	CONSIST|0.755|0.704	CONSIST|0.736|0.715	P=M<|0.409|0.553	P>M=|0.674|0.696	CONSIST|0.761|0.733	CONSIST|0.755|0.755	P=M<|0.776|0.887	P<M=|0.719|0.733	P>M=|0.764|0.746	CONSIST|0.733|0.584	CONSIST|0.733|0.718	CONSIST|0.58|0.876	P>M=|0.69|0.65	CONSIST|0.728|0.728	P<M=|0.749|0.726	CONSIST|0.642|0.567	CONSIST|0.472|0.724	CONSIST|0.862|0.862	P>M=|0.733|0.724	P=M>|0.73|0.6	CONSIST|0.718|0.707	CONSIST|0.737|0.59
RR	CONSIST|0.5|1.0	P=M<|0.25|0.333	P>M=|1.0|1.0	CONSIST|0.5|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|0.25|0.2	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|0.5	P>M=|1.0|1.0	CONSIST|1.0|0.5	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P=M<|0.5|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	P<M=|1.0|1.0	P>M=|1.0|1.0	P<M=|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0	CONSIST|1.0|1.0	CONSIST|1.0|1.0	P>M=|1.0|1.0
