MSnDCG@0003	116.0	34.0
NCUrb,P	74.0	76.0
ERP	102.0	48.0
Nor-nDCG-raw-binom	126.0	24.0
Q@0003	120.0	30.0
P-measure	103.0	47.0
Nor-lwfv-exp-step	123.0	27.0
Nor-lwofv-exp-step	125.0	25.0
P-plus	103.0	47.0
O-measure	98.0	52.0
Nor-lwfv-raw-step	119.0	31.0
NCUgu,BR	130.0	20.0
Nor-tbg-exp-step	131.0	19.0
MSnDCG@0005	121.0	29.0
RR	58.0	92.0
ERR	134.0	16.0
nERR@0003	128.0	22.0
Nor-lwofv-raw-step	131.0	19.0
Q@0005	124.0	26.0
Nor-nDCG-exp-step	128.0	22.0
AP@0005	73.0	77.0
AP@0003	71.0	79.0
RBP	139.0	11.0
AP	78.0	72.0
Nor-nDCG-exp-binom	128.0	22.0
Nor-tbg-raw-binom	136.0	14.0
Q-measure	137.0	13.0
Nor-tbg-raw-step	138.0	12.0
Nor-lwfv-exp-binom	124.0	26.0
Nor-lwfv-raw-binom	121.0	29.0
NCUrb,BR	136.0	14.0
Hit@0005	45.0	105.0
Nor-lwofv-raw-binom	131.0	19.0
Hit@0003	48.0	102.0
Nor-nDCG-raw-step	126.0	24.0
nERR@0005	133.0	17.0
P@0005	70.0	80.0
P@0003	70.0	80.0
Nor-lwofv-exp-binom	126.0	24.0
nDCG@0005	116.0	34.0
NCUgu,P	122.0	28.0
Nor-tbg-exp-binom	132.0	18.0
nDCG@0003	112.0	38.0
