MSnDCG@0003	129.0	21.0
NCUrb,P	77.0	73.0
ERP	98.0	52.0
Nor-nDCG-raw-binom	136.0	14.0
Q@0003	130.0	20.0
P-measure	106.0	44.0
Nor-lwfv-exp-step	130.0	20.0
Nor-lwofv-exp-step	133.0	17.0
P-plus	104.0	46.0
O-measure	99.0	51.0
Nor-lwfv-raw-step	135.0	15.0
NCUgu,BR	130.0	20.0
Nor-tbg-exp-step	138.0	12.0
MSnDCG@0005	137.0	13.0
RR	58.0	92.0
ERR	137.0	13.0
nERR@0003	133.0	17.0
Nor-lwofv-raw-step	141.0	9.0
Q@0005	134.0	16.0
Nor-nDCG-exp-step	130.0	20.0
AP@0005	76.0	74.0
AP@0003	71.0	79.0
RBP	133.0	17.0
AP	76.0	74.0
Nor-nDCG-exp-binom	130.0	20.0
Nor-tbg-raw-binom	140.0	10.0
Q-measure	134.0	16.0
Nor-tbg-raw-step	141.0	9.0
Nor-lwfv-exp-binom	130.0	20.0
Nor-lwfv-raw-binom	135.0	15.0
NCUrb,BR	138.0	12.0
Hit@0005	45.0	105.0
Nor-lwofv-raw-binom	141.0	9.0
Hit@0003	48.0	102.0
Nor-nDCG-raw-step	136.0	14.0
nERR@0005	137.0	13.0
P@0005	75.0	75.0
P@0003	70.0	80.0
Nor-lwofv-exp-binom	134.0	16.0
nDCG@0005	132.0	18.0
NCUgu,P	121.0	29.0
Nor-tbg-exp-binom	138.0	12.0
nDCG@0003	125.0	25.0
