taskid	source	resultid	necessity
8	haosou	5	3
8	haosou	10	1
8	haosou	8	1
8	haosou	7	3
8	haosou	11	1
8	haosou	3	3
8	haosou	12	1
8	haosou	1	1
8	haosou	9	1
8	haosou	0	3
8	haosou	6	1
8	haosou	2	1
8	haosou	4	1
19	baidu	3	1
19	baidu	6	1
19	baidu	1	3
19	baidu	2	3
19	baidu	4	3
19	baidu	0	3
19	baidu	8	3
19	baidu	9	1
19	baidu	5	1
19	baidu	7	1
18	baidu	3	1
18	baidu	0	3
18	baidu	7	1
18	baidu	6	3
18	baidu	1	3
18	baidu	5	1
18	baidu	9	1
18	baidu	4	3
18	baidu	8	1
18	baidu	2	3
4	sm	10	2
4	sm	8	1
4	sm	0	2
4	sm	6	1
4	sm	7	1
4	sm	3	1
4	sm	9	1
4	sm	2	1
4	sm	4	1
4	sm	5	3
4	sm	1	2
4	sm	11	1
15	sogou	6	1
15	sogou	2	1
15	sogou	3	1
15	sogou	9	1
15	sogou	10	1
15	sogou	1	1
15	sogou	0	1
15	sogou	5	1
15	sogou	4	1
15	sogou	8	1
15	sogou	7	1
12	sogou	2	1
12	sogou	8	1
12	sogou	4	1
12	sogou	9	1
12	sogou	7	1
12	sogou	3	1
12	sogou	5	1
12	sogou	6	1
12	sogou	0	2
12	sogou	1	2
7	haosou	3	3
7	haosou	4	1
7	haosou	5	1
7	haosou	8	2
7	haosou	0	2
7	haosou	2	1
7	haosou	11	2
7	haosou	1	1
7	haosou	12	2
7	haosou	10	1
7	haosou	7	3
7	haosou	6	2
7	haosou	9	1
9	haosou	11	2
9	haosou	6	3
9	haosou	1	1
9	haosou	5	2
9	haosou	2	1
9	haosou	10	1
9	haosou	3	3
9	haosou	9	2
9	haosou	7	2
9	haosou	0	1
9	haosou	8	1
9	haosou	4	1
17	baidu	9	1
17	baidu	0	2
17	baidu	2	1
17	baidu	4	1
17	baidu	7	1
17	baidu	6	1
17	baidu	3	1
17	baidu	8	1
17	baidu	5	1
17	baidu	1	1
5	sm	2	2
5	sm	3	1
5	sm	0	2
5	sm	6	1
5	sm	4	1
5	sm	8	1
5	sm	9	1
5	sm	7	1
5	sm	1	1
5	sm	5	1
2	sm	1	3
2	sm	10	1
2	sm	11	3
2	sm	2	1
2	sm	6	1
2	sm	9	1
2	sm	8	1
2	sm	7	1
2	sm	5	1
2	sm	4	3
2	sm	3	2
2	sm	0	2
13	sogou	5	2
13	sogou	2	2
13	sogou	6	1
13	sogou	7	1
13	sogou	1	2
13	sogou	4	2
13	sogou	10	2
13	sogou	8	1
13	sogou	3	2
13	sogou	9	1
13	sogou	0	2
1	sm	9	2
1	sm	10	2
1	sm	4	1
1	sm	11	1
1	sm	2	3
1	sm	8	1
1	sm	7	1
1	sm	1	3
1	sm	5	2
1	sm	3	1
1	sm	0	2
1	sm	6	2
3	sm	7	1
3	sm	2	1
3	sm	1	3
3	sm	10	1
3	sm	8	1
3	sm	6	1
3	sm	0	1
3	sm	4	1
3	sm	11	1
3	sm	9	2
3	sm	5	3
