taskid	source	resultid	relevance
11	sm	10	4.0
11	sm	1	4.0
11	sm	0	4.0
11	sm	3	4.0
11	sm	2	4.0
11	sm	5	4.0
11	sm	4	4.0
11	sm	7	2.0
11	sm	6	1.0
11	sm	9	4.0
11	sm	8	2.0
10	baidu	10	1.0
10	baidu	1	4.0
10	baidu	0	4.0
10	baidu	3	4.0
10	baidu	2	4.0
10	baidu	5	4.0
10	baidu	4	4.0
10	baidu	7	3.0
10	baidu	6	4.0
10	baidu	9	4.0
10	baidu	8	4.0
13	sm	11	4.0
13	sm	10	2.0
13	sm	12	3.0
13	sm	1	1.0
13	sm	0	4.0
13	sm	3	3.0
13	sm	2	1.0
13	sm	5	3.0
13	sm	4	2.0
13	sm	7	3.0
13	sm	6	1.0
13	sm	9	3.0
13	sm	8	2.0
12	sm	10	3.0
12	sm	1	3.0
12	sm	0	1.0
12	sm	3	4.0
12	sm	2	3.0
12	sm	5	2.0
12	sm	4	3.0
12	sm	7	4.0
12	sm	6	4.0
12	sm	9	2.0
12	sm	8	3.0
15	sm	10	3.0
15	sm	1	4.0
15	sm	0	4.0
15	sm	3	2.0
15	sm	2	4.0
15	sm	5	1.0
15	sm	4	2.0
15	sm	7	4.0
15	sm	6	3.0
15	sm	9	2.0
15	sm	8	3.0
14	sm	11	4.0
14	sm	10	3.0
14	sm	1	1.0
14	sm	0	4.0
14	sm	3	2.0
14	sm	2	3.0
14	sm	5	2.0
14	sm	4	2.0
14	sm	7	1.0
14	sm	6	3.0
14	sm	9	2.0
14	sm	8	2.0
17	haosou	11	1.0
17	haosou	10	1.0
17	haosou	1	1.0
17	haosou	0	1.0
17	haosou	3	1.0
17	haosou	2	3.0
17	haosou	5	1.0
17	haosou	4	1.0
17	haosou	7	1.0
17	haosou	6	1.0
17	haosou	9	1.0
17	haosou	8	1.0
16	haosou	11	1.0
16	haosou	10	2.0
16	haosou	13	2.0
16	haosou	12	2.0
16	haosou	1	4.0
16	haosou	0	3.0
16	haosou	3	2.0
16	haosou	2	2.0
16	haosou	5	2.0
16	haosou	4	2.0
16	haosou	7	1.0
16	haosou	6	1.0
16	haosou	9	3.0
16	haosou	8	4.0
19	haosou	11	4.0
19	haosou	10	4.0
19	haosou	12	3.0
19	haosou	1	4.0
19	haosou	0	4.0
19	haosou	3	4.0
19	haosou	2	3.0
19	haosou	5	1.0
19	haosou	4	4.0
19	haosou	7	4.0
19	haosou	6	1.0
19	haosou	9	4.0
19	haosou	8	2.0
18	haosou	10	1.0
18	haosou	1	4.0
18	haosou	0	4.0
18	haosou	3	4.0
18	haosou	2	4.0
18	haosou	5	3.0
18	haosou	4	1.0
18	haosou	7	1.0
18	haosou	6	4.0
18	haosou	9	3.0
18	haosou	8	3.0
20	haosou	11	2.0
20	haosou	10	2.0
20	haosou	1	2.0
20	haosou	0	4.0
20	haosou	3	3.0
20	haosou	2	2.0
20	haosou	5	1.0
20	haosou	4	4.0
20	haosou	7	2.0
20	haosou	6	2.0
20	haosou	9	2.0
20	haosou	8	3.0
1	sogou	10	3.0
1	sogou	1	4.0
1	sogou	0	4.0
1	sogou	3	4.0
1	sogou	2	4.0
1	sogou	5	3.0
1	sogou	4	1.0
1	sogou	7	3.0
1	sogou	6	3.0
1	sogou	9	4.0
1	sogou	8	3.0
3	sogou	10	4.0
3	sogou	1	4.0
3	sogou	0	4.0
3	sogou	3	1.0
3	sogou	2	4.0
3	sogou	5	4.0
3	sogou	4	2.0
3	sogou	7	3.0
3	sogou	6	1.0
3	sogou	9	4.0
3	sogou	8	2.0
2	sogou	10	4.0
2	sogou	1	4.0
2	sogou	0	4.0
2	sogou	3	4.0
2	sogou	2	4.0
2	sogou	5	4.0
2	sogou	4	3.0
2	sogou	7	4.0
2	sogou	6	4.0
2	sogou	9	4.0
2	sogou	8	4.0
5	sogou	10	4.0
5	sogou	1	4.0
5	sogou	0	4.0
5	sogou	3	4.0
5	sogou	2	4.0
5	sogou	5	4.0
5	sogou	4	4.0
5	sogou	7	4.0
5	sogou	6	1.0
5	sogou	9	4.0
5	sogou	8	4.0
4	sogou	10	4.0
4	sogou	1	4.0
4	sogou	0	4.0
4	sogou	3	3.0
4	sogou	2	3.0
4	sogou	5	3.0
4	sogou	4	4.0
4	sogou	7	4.0
4	sogou	6	4.0
4	sogou	9	4.0
4	sogou	8	4.0
7	baidu	1	4.0
7	baidu	0	4.0
7	baidu	3	4.0
7	baidu	2	4.0
7	baidu	5	4.0
7	baidu	4	3.0
7	baidu	7	2.0
7	baidu	6	3.0
7	baidu	9	4.0
7	baidu	8	3.0
6	baidu	1	4.0
6	baidu	0	4.0
6	baidu	3	4.0
6	baidu	2	4.0
6	baidu	5	4.0
6	baidu	4	4.0
6	baidu	7	2.0
6	baidu	6	4.0
6	baidu	9	1.0
6	baidu	8	1.0
9	baidu	1	4.0
9	baidu	0	4.0
9	baidu	3	4.0
9	baidu	2	4.0
9	baidu	5	4.0
9	baidu	4	4.0
9	baidu	7	4.0
9	baidu	6	3.0
9	baidu	8	1.0
8	baidu	1	4.0
8	baidu	0	3.0
8	baidu	3	4.0
8	baidu	2	4.0
8	baidu	5	3.0
8	baidu	4	2.0
8	baidu	7	3.0
8	baidu	6	4.0
8	baidu	9	3.0
8	baidu	8	4.0
11	sogou	10	4.0
11	sogou	1	4.0
11	sogou	0	4.0
11	sogou	3	3.0
11	sogou	2	4.0
11	sogou	5	4.0
11	sogou	4	4.0
11	sogou	7	4.0
11	sogou	6	2.0
11	sogou	9	4.0
11	sogou	8	4.0
10	haosou	11	4.0
10	haosou	10	4.0
10	haosou	12	4.0
10	haosou	1	4.0
10	haosou	0	4.0
10	haosou	3	4.0
10	haosou	2	4.0
10	haosou	5	4.0
10	haosou	4	4.0
10	haosou	7	1.0
10	haosou	6	4.0
10	haosou	9	3.0
10	haosou	8	4.0
13	sogou	10	3.0
13	sogou	1	2.0
13	sogou	0	4.0
13	sogou	3	3.0
13	sogou	2	3.0
13	sogou	5	2.0
13	sogou	4	2.0
13	sogou	7	2.0
13	sogou	6	3.0
13	sogou	9	1.0
13	sogou	8	3.0
12	sogou	1	3.0
12	sogou	0	3.0
12	sogou	3	3.0
12	sogou	2	2.0
12	sogou	5	2.0
12	sogou	4	2.0
12	sogou	7	2.0
12	sogou	6	2.0
12	sogou	9	2.0
12	sogou	8	2.0
20	baidu	10	2.0
20	baidu	1	4.0
20	baidu	0	4.0
20	baidu	3	2.0
20	baidu	2	2.0
20	baidu	5	2.0
20	baidu	4	2.0
